Name,Company,Annual_compensation
Terry S Semel,Yahoo,230554000
Barry Diller,IAC/InterActiveCorp,156168000
William W McGuire,UnitedHealth Group,124774000
Howard Solomon,Forest Labs,92116000
George David,United Technologies,88712000
Lew Frankfort,Coach,86481000
Edwin M Crawford,Caremark Rx,77864000
Ray R Irani,Occidental Petroleum,64136000
Angelo R Mozilo,Countrywide Financial,56956000
Richard D Fairbank,Capital One Financial,56660000
C John Wilder,TXU,54874000
Richard M Kovacevich,Wells Fargo,53083000
Robert I Toll,Toll Brothers,50240000
Lawrence J Ellison,Oracle,45804000
William E Greehey,Valero Energy,44875000
Irwin M Jacobs,Qualcomm,44422000
Rodney B Mott,Intl Steel Group,42747000
John T Chambers,Cisco Systems,40178000
Richard S Fuld Jr,Lehman Bros Holdings,40132000
Bruce E Karatz,KB Home,38816000
Jerry A Grundhofer,US Bancorp,38584000
Kevin B Rollins,Dell,38469000
Bob R Simpson,XTO Energy,38335000
Dwight C Schar,NVR,38234000
James R Tobin,Boston Scientific,38149000
Raymond V Gilmartin,Merck & Co,37787000
Frederick W Smith,FedEx,36410000
Larry A Mizel,MDC Holdings,34562000
Nicholas D Chabraja,General Dynamics,34400000
Douglas L Rock,Smith International,34352000
Jerald G Fishman,Analog Devices,34219000
William P Foley II,Fidelity National Finl,33905000
Philip J Purcell,Morgan Stanley,33713000
John G Drosdick,Sunoco,33436000
Jay Sugarman,iStar Financial,32929000
W James Farrell,Illinois Tool Works,32633000
Paul M Montrone,Fisher Scientific,31825000
Stephen F Bollenbach,Hilton Hotels,31430000
Timothy M Donahue,Nextel Commun,31155000
Willem P Roelandts,Xilinx,29144000
Edward M Liddy,Allstate,26721000
James E Cayne,Bear Stearns Cos,26260000
David C Novak,Yum Brands,25970000
Lee R Raymond,ExxonMobil,25773000
Richard K Davidson,Union Pacific,25315000
Larry C Glasscock,WellPoint,24970000
Lawrence F Probst III,Electronic Arts,24240000
Edward H Linde,Boston Properties,24195000
Henry R Silverman,Cendant,23997000
John W Thompson,Symantec,23830000
Richard C Adkerson,Freeport Copper,23674000
Robert J Ulrich,Target,23065000
Robert L Nardelli,Home Depot,22804000
John W Rowe,Aetna,22219000
Todd S Nelson,Apollo-Education Group,22088000
J W Stewart,BJ Services,21903000
J Terrence Lanni,MGM Mirage,21754000
Bobby S Shackouls,Burlington Resources,20758000
Thos E Capps,Dominion Resources,20100000
Raymond A Mason,Legg Mason,19706000
William R Berkley,WR Berkley,19604000
George W Buckley,Brunswick,19113000
Sumner M Redstone,Viacom,19101000
Stuart A Miller,Lennar,19098000
Henri A Termeer,Genzyme,19069000
William B Harrison Jr,JPMorgan Chase,18814000
Kenneth I Chenault,American Express,18284000
Brian L Halla,Natl Semiconductor,18266000
Thomas M Ryan,CVS,18210000
Bruce Chizen,Adobe Systems,18005000
Reuben Mark,Colgate-Palmolive,17964000
Bruce L Hammonds,MBNA,17438000
Edward E Whitacre Jr,SBC Communications,17402000
K Rupert Murdoch,News Corp,17226000
David J Lesar,Halliburton,16931000
Norman H Wesley,Fortune Brands,16914000
James J Mulva,ConocoPhillips,16789000
Harold W McGraw III,McGraw-Hill Cos,16705000
J Raymond Elliott,Zimmer Holdings,16523000
Robert G Wilmers,M&T Bank,16426000
J Willard Marriott Jr,Marriott Intl,16350000
Lewis B Campbell,Textron,16082000
Kerry K Killinger,Washington Mutual,15671000
John C Martin,Gilead Sciences,15118000
James E Rogers,Cinergy,14574000
Samuel J Palmisano,IBM,14394000
Brian L Roberts,Comcast,14252000
Timothy R Eller,Centex,14244000
Steven A Burd,Safeway,14041000
Alan L Boeckmann,Fluor,14026000
Andrea Jung,Avon Products,13991000
Henry A McKinnell,Pfizer,13983000
Kenneth L Schroeder,KLA-Tencor,13886000
J Steven Whisler,Phelps Dodge,13852000
Steven S Reinemund,PepsiCo,13808000
Frederic M Poses,American Standard,13653000
Jeffrey A Rich,Affiliated Computer,13624000
Stephen L Baum,Sempra Energy,13512000
