Age,Weight,Height_shod,Height,Height_seated,Arm,Thigh,Leg,Position
46,81.64656,187.2,184.9,95.2,36.1,45.3,41.3,-206.3
31,79.3786,167.5,165.5,83.8,32.9,36.5,35.9,-178.21
23,45.3592,153.6,152.2,82.9,26,36.6,31,-71.673
19,83.91452,190.3,187.4,97.3,37.4,44.1,41,-257.72
23,72.121128,178,174.1,93.9,29.5,40.1,36.9,-173.23
47,77.11064,178.7,177,92.4,36,43.2,37.4,-185.15
30,62.142104,165.7,164.6,87.7,32.5,35.6,36.2,-164.75
28,87.089664,185.3,182.7,96.9,35.8,39.9,43.1,-270.92
23,68.0388,167.6,165,91.4,29.4,35.5,33.4,-151.78
29,54.43104,161.2,158.7,85.2,26.6,31,32.8,-113.88
47,64.863656,171.9,169.1,87.8,32.9,39.2,36.9,-196.15
41,48.534344,155.7,152.5,82.9,29.6,32.7,31.1,-125.55
51,102.965384,179.8,177.2,91.7,31.1,41.4,40.2,-203.61
30,66.678024,164.9,162.7,88,27.7,33.6,33.8,-163.22
22,80.739376,177.2,176.4,94.1,31.1,41,36.6,-204.11
67,75.296272,177.1,175.3,89.4,36.7,40.1,39.2,-186.8
25,69.399576,173.4,171.2,85,33.1,45.2,38.4,-228.35
65,51.255896,162.6,158.7,85.2,31.1,35.7,32.5,-103.85
22,64.410064,167.3,164.6,90.4,29.5,36.5,34,-105.69
21,58.96696,172.5,170.5,89.7,29.9,35.8,35.6,-137.36
20,65.77084,168.4,166.3,87.9,30.3,34.6,38.5,-133.08
33,132.902456,201.2,198.4,101.6,39.6,44.2,43.1,-279.15
24,81.64656,187.6,185.3,92.6,34.9,39.9,41.8,-185.87
39,53.070264,152.8,150.2,79.4,28.9,34.8,30.2,-30.95
58,68.0388,169.2,166.4,86.2,33,37.9,35.7,-196.55
22,77.564232,184.1,181.6,95.4,33.7,41.8,39.2,-205.61
21,56.699,165.8,163.4,85,31,36.4,35.3,-94.502
23,72.57472,166.4,164.3,86.2,29.1,36.6,31.6,-125.84
21,71.213944,177,175.5,91.4,34.4,41.6,36.4,-222.5
40,52.16308,153.8,151.6,80.3,27.5,37.6,31.7,-102.2
59,76.203456,155.2,153,84.4,34.1,35.6,34.6,-47.52
47,79.3786,176.6,175.8,90.9,34.5,45.5,37.4,-183.55
72,84.368112,177.7,175,90.1,38.3,39.7,37.7,-118.05
34,52.16308,155.2,152.2,82,28.9,32.9,32.6,-148.67
19,68.0388,172.2,169.9,89.4,34,39.7,38.1,-268.32
41,54.884632,166.3,164.1,86.5,31.5,45.1,33.8,-117
21,69.853168,172,170.4,90,29.5,36.8,37.5,-201.51
56,71.667536,173.8,171.5,90,36.1,39.2,35.5,-176.45
