Eye_color,Rating
Blue,1.3
Blue,1
Blue,7
Blue,4.2
Blue,5.4
Blue,1
Blue,1.6
Blue,2
Blue,2.1
Blue,3.5
Blue,1.5
Blue,2.4
Blue,6
Blue,4.2
Blue,2.6
Blue,1.1
Blue,1.1
Blue,3.9
Blue,2.2
Blue,5.4
Blue,4.3
Blue,2.1
Blue,4.8
Blue,4.4
Blue,3.1
Blue,2.7
Blue,1
Blue,1.2
Blue,7
Blue,3.9
Blue,1.4
Blue,3.7
Blue,4.5
Blue,1.8
Blue,4.5
Blue,1.3
Blue,1
Blue,3.3
Blue,2.5
Blue,3.7
Blue,4.4
Blue,3.5
Blue,1
Blue,2.7
Blue,1.4
Blue,1.3
Blue,5.6
Blue,6.7
Blue,2.8
Blue,1.7
Blue,2.9
Blue,2.3
Blue,4.3
Blue,3.4
Blue,1.2
Blue,3.3
Blue,1.9
Blue,4.7
Blue,5.8
Blue,1
Blue,5.1
Blue,6.4
Blue,2.5
Blue,1.6
Blue,3.7
Blue,7
Blue,4.1
Brown,2.9
Brown,5.7
Brown,3.2
Brown,5.5
Brown,1.4
Brown,5.3
Brown,4.7
Brown,2.3
Brown,1
Brown,5.2
Brown,4.2
Brown,6.4
Brown,4.5
Brown,3.6
Brown,6.1
Brown,3.9
Brown,6.6
Brown,4
Brown,7
Brown,5.9
Brown,2.5
Brown,1.6
Brown,4.8
Brown,2.7
Brown,2.1
Brown,2.2
Brown,1.1
Brown,1.7
Brown,2.8
Brown,4.8
Brown,1.8
Brown,1
Brown,3.4
Brown,5.1
Brown,3
Brown,3.7
Brown,4.1
Brown,4.8
Brown,1.4
Brown,1
Brown,4.2
Brown,4.2
Brown,1.3
Brown,1.1
Brown,5
Brown,4.8
Brown,2.1
Brown,3.4
Brown,1.5
Brown,2.2
Brown,1.8
Brown,1.7
Brown,1.9
Brown,3
Brown,2.7
Brown,2.4
Brown,1.4
Brown,3.7
Brown,3.2
Brown,1.2
Brown,5.5
Brown,2.8
Brown,3.6
Brown,2.8
Brown,5.9
Brown,2.6
Brown,6.2
Brown,1.6
Brown,4.4
Brown,3.6
Brown,2.2
Brown,3.4
Brown,3.9
Brown,1.3
Brown,4.5
Brown,2.4
Brown,6.8
Brown,3.9
Green,4.6
Green,1.9
Green,2.7
Green,2.6
Green,4.4
Green,2.2
Green,3.4
Green,4.2
Green,3.5
Green,5.2
Green,5.1
Green,1
Green,7
Green,4.9
Green,1.8
Green,2.2
Green,5.9
Green,7
Green,6.3
Green,4.2
Green,2.4
Green,4.5
Green,1.6
Green,3.5
Green,4.7
Green,6.9
Green,2.4
Green,4.1
Green,3.3
Green,2.7
Green,3.3
Green,3.1
Green,2.9
Green,4.3
Green,2.9
Green,3.9
Green,1
Green,5.3
Green,1.9
Green,3.2
Green,3.5
Green,3.6
Green,4.5
Green,4.2
Green,6
Green,5.2
Green,3
Green,6.3
Green,1.3
Green,5.1
Green,4.5
Green,6.4
Green,1
Green,5.7
Green,4.9
Green,3.5
Green,5.5
Green,3.9
Green,5
Green,6.1
Green,6.6
Green,1.4
Green,5.1
Green,3.5
Green,1.8
Green,6.4
Green,1.2
Green,1
Green,3.5
Green,4.3
Green,3.6
Green,1.1
Green,6.8
Green,3.8
Green,3.2
Green,4.4
Green,2.3
