mean_NEO,Rotation,Age,Sex,Student
0.666667,counter,25,M,Y
1.16667,clock,20,F,Y
0.833333,counter,25,F,Y
0,clock,19,F,Y
-0.25,counter,20,F,Y
0.833333,clock,26,F,Y
0.666667,counter,23,M,Y
0.833333,clock,22,F,Y
0.916667,counter,18,F,Y
0.833333,clock,19,F,Y
0.25,counter,24,F,Y
0.75,clock,20,F,Y
0.666667,counter,21,F,Y
0.333333,clock,19,F,Y
0.833333,counter,21,F,N
0.75,clock,19,F,Y
-0.166667,counter,21,F,Y
0.25,clock,26,F,Y
0.916667,counter,21,M,Y
1.83333,clock,23,M,Y
0.916667,counter,41,F,N
1.66667,counter,25,M,Y
1.08333,clock,31,F,Y
0.166667,counter,22,F,Y
-0.583333,clock,19,F,Y
0.666667,counter,23,M,Y
-0.25,clock,19,F,Y
1.08333,counter,19,M,Y
0.583333,clock,21,F,Y
1.08333,counter,21,F,Y
0.583333,clock,21,F,Y
1,counter,21,F,Y
-0.25,clock,20,F,Y
0,counter,21,F,Y
0.25,clock,19,F,Y
0.833333,counter,22,F,Y
0.583333,clock,19,F,Y
1.08333,counter,22,M,Y
0.916667,clock,22,M,Y
0.75,counter,26,F,Y
0.583333,clock,21,F,Y
0.666667,counter,22,M,Y
0.583333,clock,20,F,Y
0.916667,clock,22,F,Y
0.416667,counter,25,F,N
0.0833333,clock,19,F,Y
0.666667,clock,24,F,Y
0.833333,counter,19,F,Y
0.416667,clock,20,F,Y
0.916667,counter,22,M,Y
0.833333,clock,28,M,Y
0.916667,counter,20,F,Y
0.333333,clock,21,F,Y
1.16667,counter,25,F,Y
0.5,clock,20,F,Y
1.16667,counter,18,F,N
0,clock,20,F,Y
1,counter,23,M,Y
1.16667,clock,21,F,Y
1.25,clock,21,M,Y
0.416667,counter,17,F,Y
0.833333,clock,19,F,Y
1.16667,counter,23,M,Y
1.5,clock,25,F,Y
0.166667,counter,38,M,N
0.833333,clock,51,F,N
0.833333,counter,21,F,Y
0.833333,clock,21,F,Y
-0.333333,counter,21,F,Y
0.416667,clock,21,F,Y
0.416667,counter,22,F,Y
0.416667,clock,21,F,Y
0.666667,counter,18,F,Y
1.16667,clock,24,M,Y
0.416667,counter,20,F,Y
1.58333,clock,19,F,Y
0.25,counter,27,F,N
-0.25,counter,21,F,Y
0.5,clock,22,F,Y
0.0833333,counter,20,F,Y
0.75,clock,28,F,Y
0.916667,counter,18,F,Y
0.25,clock,21,F,Y
2,counter,25,F,Y
1.25,clock,19,F,Y
1.08333,counter,22,M,Y
0.0833333,clock,19,F,Y
0.583333,counter,21,F,Y
0.833333,counter,20,M,Y
1.16667,clock,25,M,Y
1,counter,21,F,Y
1,counter,19,M,Y
0,clock,20,M,Y
0.666667,counter,19,F,Y
0.75,counter,22,F,Y
0.333333,clock,19,F,Y
1.25,counter,20,M,Y
0.0833333,counter,19,F,Y
1,clock,22,F,Y
1.33333,counter,22,M,Y
0.333333,counter,27,M,Y
1.16667,counter,18,F,Y
