Treatment,ID,Score
A,1,0.434536655869661
B,1,0.641831168657595
A,2,-0.519536667015539
B,2,-0.316910014588631
A,3,-0.834559033019062
B,3,-0.629122454427527
A,4,-0.756647609353339
B,4,-0.546237006370332
A,5,1.0895034952023
B,5,1.29147855673932
A,6,1.57243291747915
B,6,1.75613713460597
A,7,1.00736436564955
B,7,1.20857476797336
A,8,-0.273157993075658
B,8,-0.0895322125971764
A,9,-1.30967954169979
B,9,-1.1149899727598
A,10,0.222573830859894
B,10,0.432110628779612
A,11,1.11343318380002
B,11,1.29622667717924
A,12,0.837394397366885
B,12,1.03845760356548
A,13,0.314516768320976
B,13,0.508430083355164
A,14,0.222218072141828
B,14,0.419206102315631
A,15,-0.843615389920893
B,15,-0.633853364674118
A,16,0.443805325637898
B,16,0.648365412331619
A,17,0.0557971109294442
B,17,0.268741191603601
A,18,0.0679723895219651
B,18,0.256640367460564
A,19,-0.201961742355295
B,19,-0.0106563458632395
A,20,-1.15801525404242
B,20,-0.965564956961027
