Subject,Trial,Block,Orientation,Luminance,SOA,RT,Error
10,3,1,present,present,0.15,327.992,-6.0427
10,4,1,absent,absent,0.15,292.778,-4.8697
10,8,1,absent,absent,0,366.405,9.4389
10,9,1,absent,absent,-0.15,217.593,12.4702
10,11,1,present,present,0.05,279.998,1.1225
10,12,1,present,absent,-0.15,172.802,15.1887
10,14,1,present,present,-0.15,218.395,21.8683
10,15,1,absent,absent,0.15,259.997,-3.61
10,16,1,absent,present,-0.05,180.797,18.977
10,17,1,absent,present,0.05,263.991,0.1768
10,18,1,present,absent,0.05,179.198,17.668
10,19,1,absent,present,0.05,239.996,-5.2456
10,20,1,absent,absent,-0.05,259.996,6.1669
10,24,1,present,absent,-0.15,191.993,10.1064
10,26,1,absent,absent,0,253.6,4.5506
10,28,1,present,absent,-0.15,312.79,-11.1022
10,29,1,present,absent,0.15,260.797,-8.921
10,31,1,present,absent,0,283.997,-3.3143
10,32,1,present,absent,-0.05,271.2,-1.2942
10,33,1,absent,present,-0.05,247.995,-7.7326
10,35,1,absent,absent,0,189.588,6.3757
10,38,1,present,present,0.15,383.991,1.4249
10,39,1,present,present,-0.15,265.605,12.5952
10,40,1,present,present,0.15,366.39,2.5155
10,41,1,absent,present,0.15,337.591,-8.8812
10,42,1,absent,present,0,187.996,19.5149
10,43,1,present,absent,-0.15,370.39,-8.2491
10,44,1,absent,absent,-0.15,275.197,14.3353
10,45,1,present,absent,0.15,319.19,-8.5502
10,47,1,present,absent,-0.05,364.795,-3.3446
10,48,1,absent,present,-0.05,271.996,-8.8269
10,49,1,absent,present,0.05,323.193,-0.7182
10,50,1,present,present,0.05,312.803,6.089
10,51,1,present,present,0,195.197,7.5426
10,53,1,absent,absent,0.05,264.792,-11.5483
10,54,1,present,absent,-0.15,247.197,9.63
10,55,1,absent,absent,0.15,309.593,7.3206
10,56,1,present,present,0,300.793,8.0184
10,58,1,present,present,-0.05,264.793,6.3419
10,59,1,absent,absent,-0.05,272.797,-6.7404
10,60,1,absent,absent,0,273.593,0.0491
10,61,1,absent,present,0,278.395,-1.1742
10,63,1,absent,absent,0.15,316.793,-2.3173
10,64,1,present,present,0,294.393,-7.8317
10,65,1,present,absent,0.05,297.592,-15.1764
10,66,1,absent,present,-0.05,296.798,-10.6176
10,67,1,absent,present,0.05,337.59,-9.5477
10,68,1,absent,absent,-0.05,174.396,-3.1198
10,70,1,absent,absent,0,208.797,-7.963
10,71,1,present,present,0,173.599,-10.6431
10,72,1,present,present,-0.05,247.195,-7.7855
10,73,1,absent,present,0,203.188,-11.2793
10,74,1,absent,absent,0.15,309.594,9.062
10,75,1,absent,absent,-0.15,259.989,6.8402
10,76,1,present,present,0.05,254.395,-0.185
10,77,1,present,absent,0.05,221.597,0.0798
10,78,1,present,absent,0.15,263.992,-1.0514
10,80,1,present,present,0.15,291.198,-9.9307
10,81,1,present,absent,0.05,247.184,-9.0025
10,82,1,present,present,-0.15,223.994,7.0088
10,83,1,present,absent,0.15,243.992,-12.3715
10,84,1,present,absent,-0.15,148.799,1.1852
10,87,1,absent,absent,-0.05,295.991,6.5732
10,88,1,absent,present,0.05,296.795,-8.2306
10,89,1,present,present,0,232.788,7.8951
10,90,1,absent,present,-0.05,176.794,-7.5096
10,93,1,present,absent,0.05,254.396,2.6265
10,94,1,present,present,0.05,284.793,-9.6146
10,95,1,absent,absent,0.05,258.398,-10.0179
10,96,1,absent,present,-0.15,261.599,7.6149
10,97,1,absent,present,-0.15,265.599,-13.5308
10,101,1,absent,present,-0.05,168.798,15.2463
10,102,1,absent,absent,0.05,294.387,-9.6087
10,103,1,present,absent,-0.05,163.197,8.0676
10,104,1,present,absent,0.05,274.394,12.4696
10,105,1,present,absent,0,247.99,-5.6437
10,107,1,absent,present,-0.15,184.796,-12.1885
10,111,1,absent,present,-0.15,250.388,-2.0649
10,112,1,absent,present,0.05,259.992,-11.3274
10,113,1,present,absent,-0.15,284.793,-6.6818
10,114,1,absent,present,0.15,320.791,5.1045
10,115,1,present,present,0,257.598,4.1904
10,116,1,absent,present,0,331.192,-5.2825
10,117,1,present,present,-0.15,273.603,-8.62
10,118,1,present,absent,0,296.796,5.2205
10,119,1,absent,present,0.05,267.196,8.3056
10,120,1,absent,present,-0.15,191.199,11.8626
10,121,1,absent,present,-0.15,183.995,10.665
10,122,1,absent,present,0.05,296.786,13.1486
10,123,1,absent,present,0.05,287.192,-10.9978
10,124,1,absent,absent,0.15,351.196,4.234
10,125,1,present,absent,-0.15,186.4,-11.1843
10,127,1,present,present,0.15,297.594,15.1133
10,128,1,present,present,0.05,267.992,12.3145
10,129,1,present,absent,0,279.992,7.5697
10,131,1,present,absent,0.15,235.997,-5.8169
10,132,1,absent,present,0,333.595,-11.1764
10,133,1,absent,present,0,293.59,-7.8113
10,134,1,absent,present,-0.15,275.196,6.4446
10,135,1,absent,present,-0.15,266.395,-4.2633
10,136,1,absent,absent,0,295.995,-1.5473
10,137,1,present,present,0.15,305.595,2.1842
10,139,1,absent,absent,0,214.4,-1.3781
10,140,1,absent,present,0.15,371.988,5.7551
10,141,1,absent,absent,0,246.391,-7.0096
10,142,1,present,present,0.05,316.794,12.3538
10,143,1,present,absent,0.05,306.39,-3.584
10,144,1,present,absent,-0.05,251.193,5.4937
10,145,1,absent,present,-0.05,278.396,-5.4444
10,146,1,present,absent,-0.05,235.994,-10.7402
10,148,1,present,present,0.05,275.199,-10.7339
10,149,1,present,present,0.05,290.393,16.4031
10,150,1,present,absent,0,233.595,9.78
10,153,1,present,present,-0.05,274.393,2.3316
10,154,1,present,present,-0.05,243.191,-3.3974
10,155,1,absent,present,0,199.194,11.3494
10,157,1,present,absent,0.15,219.195,11.3071
10,158,1,absent,absent,-0.15,197.587,-5.5026
10,159,1,absent,present,-0.15,291.995,6.9053
10,160,1,present,present,0.05,312.79,-10.203
10,161,1,present,present,0.15,326.393,5.5232
10,162,1,present,absent,0.05,257.603,8.6612
10,163,1,present,absent,0.15,261.591,6.1466
10,164,1,present,present,0.15,309.586,-3.1738
