Class,Age,Sex,Status
1st,child,male,survived
1st,child,male,survived
1st,child,male,survived
1st,child,male,survived
1st,child,male,survived
2nd,child,male,survived
2nd,child,male,survived
2nd,child,male,survived
2nd,child,male,survived
2nd,child,male,survived
2nd,child,male,survived
2nd,child,male,survived
2nd,child,male,survived
2nd,child,male,survived
2nd,child,male,survived
2nd,child,male,survived
3rd,child,male,survived
3rd,child,male,survived
3rd,child,male,survived
3rd,child,male,survived
3rd,child,male,survived
3rd,child,male,survived
3rd,child,male,survived
3rd,child,male,survived
3rd,child,male,survived
3rd,child,male,survived
3rd,child,male,survived
3rd,child,male,survived
3rd,child,male,survived
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
3rd,child,male,died
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,survived
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
1st,adult,male,died
2nd,adult,male,survived
2nd,adult,male,survived
2nd,adult,male,survived
2nd,adult,male,survived
2nd,adult,male,survived
2nd,adult,male,survived
2nd,adult,male,survived
2nd,adult,male,survived
2nd,adult,male,survived
2nd,adult,male,survived
2nd,adult,male,survived
2nd,adult,male,survived
2nd,adult,male,survived
2nd,adult,male,survived
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
2nd,adult,male,died
